City,Church/Organization Name,Denomination/Religion,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,Our Lady of the Assumption (Assumption Basilica),Roman Catholic,350 Huron Church Road,ON,N9C 2J9,519-253-2493,https://assumptionparish.ca/,Fr. Timothy Scott CSB,Pastor,"Windsor Heritage Family of Parishes; Historic basilica; Large congregation"
Windsor,St. Alphonsus Catholic Church,Roman Catholic,85 Park Street East,ON,N9A 3A8,519-256-1849,https://stalphonsuschurch.ca/,Fr. Timothy Scott CSB,Pastor,"Windsor Heritage Family of Parishes"
Windsor,St. Angela Merici Catholic Church,Roman Catholic,980 Louis Avenue,ON,N9A 1X9,519-254-5542,https://stangelamerici.ca/,Fr. Timothy Scott CSB,Pastor,"Italian community parish; Via Italia area"
Windsor,Holy Name of Mary Catholic Church,Roman Catholic,711 McEwan Avenue,ON,N9B 2E1,519-253-8361,https://windsorheritageparishes.ca/,Fr. Timothy Scott CSB,Pastor,"Windsor Heritage Family of Parishes"
Windsor,Most Precious Blood Catholic Church,Roman Catholic,1947 Meldrum Road,ON,N8W 4E3,519-948-4133,https://ncwcf.dol.ca/,Contact Parish Office,Pastor,"North Central Windsor Family; Large parish"
Windsor,St. Theresa Catholic Church,Roman Catholic,1991 Norman Road,ON,N8N 1T5,519-948-4133,https://ncwcf.dol.ca/,Contact Parish Office,Pastor,"North Central Windsor Family"
Windsor,Immaculate Heart Catholic Church,Roman Catholic,2153 Parkwood Avenue,ON,N8W 2W9,519-254-4512,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family"
Windsor,Our Lady of Perpetual Help Catholic Church,Roman Catholic,904 Grand Marais Road East,ON,N8X 3H8,519-969-3477,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family"
Windsor,Holy Trinity Catholic Church,Roman Catholic,1035 Ellis Street East,ON,N8X 2J2,519-253-5863,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Polish community parish; Rose City Central Family"
Windsor,St. Michael Catholic Church,Roman Catholic,2153 Parkwood Avenue,ON,N8W 2W9,519-254-4512,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family; Walkerville area"
Windsor,St. Francis of Assisi Catholic Church,Roman Catholic,1701 Turner Road,ON,N8J 3R5,519-735-2712,https://olph.dionet.org/,Rev. Glen Ball,Pastor,"Rose City Central Family"
Windsor,Our Lady of the Atonement Catholic Church,Roman Catholic,4820 Riverside Drive East,ON,N8Y 1B5,519-945-1999,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
Windsor,St. John Vianney Catholic Church,Roman Catholic,4540 Seminole Street,ON,N8Y 1S2,519-945-1999,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
Windsor,St. Vincent de Paul Catholic Church,Roman Catholic,4540 Seminole Street,ON,N8Y 1S2,519-945-1999,https://eastwindsorcatholic.dol.ca/,Contact Parish Office,Pastor,"East Windsor Family"
