City,Name,Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Buildings Managed,Notes
Windsor,Huron Shores Property Management,Property Management,1010 University Ave W Suite 106,ON,N9A 5S4,519-916-1113,https://huron-shores.com/,,Property Manager,"1225 Riverside Dr W (Portofino), Woodhaven Grand Villas LaSalle","20+ years experience, serves Windsor-Essex including LaSalle, Amherstburg, Essex, Tecumseh, Lakeshore, Kingsville, Leamington"
Windsor,Larlyn Property Management,Property Management,2-2525 Annie St,ON,N8T 3K8,226-216-3186,https://www.larlyn.com/offices/windsor/,,Property Manager,"Townhouses, condos, high-rises across Windsor-Essex","Toll-free: 1-866-550-1260, After hours: 1-866-367-2416, Email: Windsor@larlyn.com"
Windsor,Danbury Property Management,Property Management,2296 Richmond St Unit 2,ON,N8Y 1L6,519-974-3003,https://www.danburypropertymanagement.com/,,Property Manager,"LaSalle Horizons, various condos Windsor-Essex","Operating since 2000, 24/7 emergency on-call, Email: info@danburypropertymanagement.com"
Windsor,Maximum Property Solutions,Property Management,3203 Walker Rd Ste 100,ON,N8W 3R7,519-969-7159,http://maximum-property.com/,,Property Manager,"Townhomes, condominiums throughout Windsor-Essex",Comprehensive commercial and residential property management
Windsor,Goldmar Property Management,Property Management,2597 Howard Ave,ON,N8X 3W4,519-252-5010,https://goldmar.ca/,,Property Manager,"Single-family homes, apartments, townhouses, condos","Serves all Windsor-Essex: Windsor, LaSalle, Amherstburg, Tecumseh, Lakeshore, Essex, Leamington, Kingsville"
Windsor,OLH Property Management,Property Management,1201 Ottawa St,ON,N8X 2E5,519-965-8487,https://olhgroup.ca/,,Property Manager,"The Boardwalk (121 King St Chatham), condos, homes, multiplexes","Tenant support: 519-258-3966, Email: info@olhgroup.ca, Paralegal-led management"
Windsor,MARDA Management Inc.,Property Management,1000 University Ave W,ON,N9A 5S4,519-255-7368,https://mardamanagement.com/,,Property Manager,"Houses, townhomes, apartments, commercial - Windsor, Essex County, Chatham Kent","Largest privately owned full service property management in Windsor, 24/7 maintenance hotline"
Windsor,Home 2 Home Properties,Property Management,2291 Dominion Blvd,ON,N9B 3J1,519-890-5245,https://h2hpm.com/,,Property Manager,"Single family homes, multi-unit, large building complexes, condos",Award-winning property management company
Windsor,LMR Property Management,Property Management,,ON,,519-965-4292,https://www.lmrpropertymanagement.ca/,,Property Manager,Various residential properties Windsor-Essex,Professional property management services
Windsor,Windsor Luxury Rentals Inc.,Property Management,,ON,,519-948-7367,https://windsorluxuryrentals.com/,,Property Manager,"Single family, condos, multi-family, high-rise complexes","Leasing and property management, condo corporation management"
Windsor,Suburban Construction & Management Ltd.,Property Management,Lesperance Road,ON,N8N 1X3,,https://brotto.ca/,,,LA Suites LaSalle (70 units); The Edgar Windsor (36 units); Carsten Manor Tecumseh (24 units),"Associated with Brotto Development, manages new condo developments"
Windsor,Portofino Condominium (ECC),Condo Corp,1225 Riverside Dr W,ON,N9A 0A2,,,,,,"123-124 units, 17 storeys, built 2006, waterfront views, managed by Huron Shores"
Windsor,Le Goyeau Condominiums,Condo Corp,111 Riverside Dr E,ON,N9A 2S6,519-254-4022,,,,"200 units, 16-17 storeys, built 1960, downtown waterfront, pool, exercise room, sauna"
Windsor,Summit House (ECC),Condo Corp,3601 Riverside Dr E,ON,N8Y 4Y2,,https://www.condodork.com/en/windsor/summit-house-3601-riverside-dr-e,,,"86 units, 12 storeys, built 1992, Ford City neighbourhood, waterfront"
