City,Company Name,Type/Industry,Street Address,Province,Postal Code,Phone,Website,Decision Maker Name,Title / Role,Notes
Windsor,Stellantis Windsor Assembly Plant,Automotive OEM,One Riverside Dr W,ON,,(519) 973-2000,stellantis.com,Trevor Longley,President - Canada,"Chrysler Pacifica; 4200+ employees; minivan production since 1983"
Windsor,NextStar Energy Inc.,EV Battery Manufacturing,Windsor,ON,,,nextstar-energy.com,Danies Lee,CEO,"Stellantis-LG joint venture; 4.23M sq ft; 2500 jobs; Canada's first large-scale Li-ion battery plant"
Windsor,NextStar Energy Inc.,EV Battery Manufacturing,Windsor,ON,,,nextstar-energy.com,Jerome Choi,Chief Technology Officer,
Windsor,Valiant TMS,Automation & Engineering,Windsor,ON,,,valianttms.com,Sladjan Milidrag,President - North America,"Industry 4.0 integrator; 1500 employees; 20 facilities globally"
Windsor,CenterLine (Windsor) Limited,Automation & Welding,Windsor,ON,,,cntrline.com,Michael Beneteau,CEO,"Metal joining/forming/coating; 429 employees; Canada's Best Managed Platinum"
Windsor,CenterLine (Windsor) Limited,Automation & Welding,Windsor,ON,,,cntrline.com,Darryl Beneteau,COO,
Windsor,CenterLine (Windsor) Limited,Automation & Welding,Windsor,ON,,,cntrline.com,Phil Campbell,VP Global Sales & Marketing,
Windsor,Cavalier Tool & Manufacturing Ltd,Tool & Mold,3450 Wheelton Dr,ON,N8W 5A7,(519) 966-3011,cavaliertool.com,Brian Bendig,President & CEO,"Founded 1975; $45M sales; operations in India; also 4401 Stecker Ave"
Windsor,Omega Tool Corporation,Tool & Mold,2045 Solar Crescent Oldcastle,ON,N0R 1L0,,omegatoolcorp.com,Dave Cecchin,President & CEO,"Founded 1980; 250000+ sq ft; 300 technicians; automotive fascias/panels"
Windsor,Platinum Tool Technologies,Tool & Mold,2075 Fasan Dr Oldcastle,ON,N0R 1L0,,platinum-tool.com,Dan Moynahan,President,"Acquired by AarKel Tool 2019; automotive lighting/interior trim"
Windsor,Superior Tool and Mold,Tool & Mold,1665 Moro Dr,ON,N9A 6J3,,superiortoolandmold.com,Jeff Green,President,"28000 sq ft; 95+ employees; ISO 9001:2015; Don Walker VP; Phil Giordano Plant Manager"
Windsor,Basic Tool Inc,Tool & Mold,2045 Halford Dr,ON,N9A 6J3,(519) 737-1060,basictool.com,Dario Cargnelli,President/Owner,"Prototype & production molds; serves 7 NA auto manufacturers"
