City,Office/Department Name,Level,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,City of Windsor - Office of the Mayor,Municipal,350 City Hall Square West Suite 510,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,Drew Dilkens,Mayor,mayoro@citywindsor.ca
Windsor,City of Windsor - Chief Administrative Officer,Municipal,350 City Hall Square West Suite 520,ON,N9A 6S1,519-255-6100 ext 6311,https://www.citywindsor.ca,Ray Mensour,Chief Administrative Officer,caodept@citywindsor.ca - Assumed role May 1 2025
Windsor,City of Windsor - Office of the City Clerk,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6211,https://www.citywindsor.ca,,City Clerk/Licence Commissioner,clerks@citywindsor.ca - Fax 519-255-6868
Windsor,City of Windsor - Finance and City Treasurer,Municipal,350 City Hall Square West Suite 410,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,Janice Guthrie,Commissioner of Finance/City Treasurer,
Windsor,City of Windsor - Infrastructure Services,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,David Simpson,Commissioner of Infrastructure Services/City Engineer,Effective July 8 2024
Windsor,City of Windsor - Community Services,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,Michael Chantler,Commissioner of Community Services,Effective May 1 2025
Windsor,City of Windsor - Corporate Services,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,Andrew Daher,Commissioner of Corporate Services,Effective May 1 2025
Windsor,City of Windsor - Human and Health Services,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,Dana Paladino,Acting Commissioner Human and Health Services,Effective May 1 2025
Windsor,City of Windsor - Economic Development,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,Jelena Payne,Commissioner Economic Development/Deputy CAO,Deputy CAO effective March 1 2025
Windsor,City of Windsor - Human Resources,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca/city-hall/employment-opportunities/about-human-resources,,Director of Human Resources,
Windsor,City of Windsor - Ontario Works/Social Services,Municipal,400 City Hall Square East,ON,N9A 7K6,519-255-5200,https://www.citywindsor.ca,,Director Employment and Social Services,socserv@citywindsor.ca - Toll free 1-866-925-2022
Windsor,City of Windsor - Legal Services,Municipal,350 City Hall Square West,ON,N9A 6S1,519-255-6100,https://www.citywindsor.ca,,City Solicitor,
LaSalle,Town of LaSalle - Office of the Mayor,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,Crystal Meloche,Mayor,
LaSalle,Town of LaSalle - Chief Administrative Officer,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,Joe Milicia,Chief Administrative Officer,CPA CA - j.milicia@lasalle.ca
LaSalle,Town of LaSalle - Deputy CAO,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,Peter Marra,Deputy Chief Administrative Officer,
LaSalle,Town of LaSalle - Clerk Services,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,,Director of Council Services/Clerk,
LaSalle,Town of LaSalle - Planning and Development,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,,Director of Planning and Development,Building services and by-law enforcement
LaSalle,Town of LaSalle - Finance,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,,Director of Finance,
LaSalle,Town of LaSalle - Public Works,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,,Director of Public Works,
LaSalle,Town of LaSalle - Culture and Recreation,Municipal,5950 Malden Road,ON,N9H 1S4,519-969-7770,https://www.lasalle.ca,,Director of Culture and Recreation,
Tecumseh,Town of Tecumseh - Office of the Mayor,Municipal,917 Lesperance Road,ON,N8N 1W9,519-735-2184,https://www.tecumseh.ca,Gary McNamara,Mayor,
Tecumseh,Town of Tecumseh - Deputy Mayor,Municipal,917 Lesperance Road,ON,N8N 1W9,519-735-2184,https://www.tecumseh.ca,Joe Bachetti,Deputy Mayor,
Tecumseh,Town of Tecumseh - Chief Administrative Officer,Municipal,917 Lesperance Road,ON,N8N 1W9,519-735-2184,https://www.tecumseh.ca,,Chief Administrative Officer,Contact ext 113 for Mayor/Council assistant
