City,Hospital/Healthcare Facility Name,Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Number of Beds/Staff,Notes
Windsor,Windsor Regional Hospital - Metropolitan Campus,Hospital,1995 Lens Avenue,ON,N8W 1L9,519-254-5577,https://www.wrh.on.ca,Karen Riddell,Acting President & CEO / Chief Nursing Executive & COO,650+ beds / 4300+ staff / 599 physicians,"Major acute care hospital; new mega-hospital planned for 2031 with 500-700 beds; $2B project; construction starting 2026"
Windsor,Windsor Regional Hospital - Ouellette Campus,Hospital,1030 Ouellette Avenue,ON,N9A 1E1,519-254-5577,https://www.wrh.on.ca,Malissa Gauthier,Chief Financial Officer & VP Corporate and Laboratory Services,See Met Campus,"Second campus of WRH; emergency department; cardiac care; Adult Mental Health Services; Dr. Wassim Saad is Chief of Staff"
Windsor,Windsor Regional Hospital,Hospital,1995 Lens Avenue,ON,N8W 1L9,519-254-5577,https://www.wrh.on.ca,Todd Bested,VP People & Culture,,"HR leadership for staff recruitment and relocation support"
Windsor,Windsor Regional Hospital,Hospital,1995 Lens Avenue,ON,N8W 1L9,519-254-5577,https://www.wrh.on.ca,Laura Janisse,Human Resources Manager,,"HR contact for employee relations and talent acquisition"
Windsor,Hotel-Dieu Grace Healthcare,Hospital/Specialized Care,1453 Prince Road,ON,N9C 3Z4,519-257-5111,https://www.hdgh.org,Bill Marra,President & CEO,313 beds / 400-500 staff,"Regional provider of post-acute care; 25+ unique mental health & addictions programs; HART Hub for addiction services"
Windsor,Hotel-Dieu Grace Healthcare,Hospital/Specialized Care,1453 Prince Road,ON,N9C 3Z4,519-257-5111,https://www.hdgh.org,Sheri McGeen,Chief Human Resources Officer,313 beds,"HR leadership; 4 HR staff; oversees recruitment and staff development"
Windsor,Hotel-Dieu Grace Healthcare,Hospital/Specialized Care,1453 Prince Road,ON,N9C 3Z4,519-257-5111,https://www.hdgh.org,Amber Beletz,Human Resources Manager,313 beds,HR operations and staff support
Windsor,Hotel-Dieu Grace Healthcare - Regional Children's Centre,Mental Health Facility,1453 Prince Road,ON,N9C 3Z4,519-257-5111,https://www.hdgh.org/regionalchildrenscentre,Bill Marra,President & CEO,Part of HDGH,"Children and Youth Mental Health services ages 6-17; access mechanism for complex cases"
Windsor,Hotel-Dieu Grace Healthcare - Toldo Neurobehavioural Institute,Mental Health Facility,1453 Prince Road,ON,N9C 3Z4,519-257-5111,https://www.hdgh.org,Bill Marra,President & CEO,49 inpatient beds,"Specialized mental healthcare for severe mental illness; complex or treatment-resistant cases"
Windsor,HDGH Foundation,Hospital Foundation,1453 Prince Road,ON,N9C 3Z4,519-257-5111,https://www.hdgh.org/foundationteam,Barb Sebben,Executive Director,,Fundraising for Hotel-Dieu Grace Healthcare
Windsor,Windsor Regional Hospital Foundation,Hospital Foundation,1995 Lens Avenue,ON,N8W 1L9,519-254-5577,https://www.wrh.on.ca/WRHFoundation,Ashley Weeres,Interim Executive Director (as of Oct 2024),,"Fundraising for WRH new mega-hospital; $15M record donation received 2024"
Windsor,Windsor Essex Community Health Centre (weCHC) - Downtown,Community Health Centre,1200 University Avenue West,ON,,519-997-2824,https://wechc.org/location/downtown,Nancy Brockenshire,Executive Director,,"Primary care; new downtown location opened 2024"
Windsor,Windsor Essex Community Health Centre - Teen Health,Community Health Centre,1361 Ouellette Avenue Unit 101,ON,N8X 1J6,519-962-2284,https://wechc.org/location/teen-health,Nancy Brockenshire,Executive Director,,"Youth ages 12-24; medical care; mental health support"
Windsor,Windsor Essex Community Health Centre - Sandwich,Community Health Centre,3325 College Avenue,ON,N9C 4E6,519-258-6002,https://wechc.org/location/sandwich,Nancy Brockenshire,Executive Director,,"Primary care; community programs; Mon-Fri varied hours"
Windsor,Windsor Essex Community Health Centre - Diabetes Wellness/Pickwick,Community Health Centre,2885 Lauzon Parkway Unit 107,ON,N8T 3H5,519-962-2284,https://wechc.org/location/diabetes-wellness,Nancy Brockenshire,Executive Director,,"Diabetes management; wellness programs"
Windsor,Windsor Family Health Team,Family Health Team,2475 McDougall Street Suite 245,ON,N8X 3N9,519-250-5656,https://www.windsorfht.ca,Margo Reilly,Executive Director,,"Primary care; Mon-Thu 8:30am-8pm; Fri 8:30am-4:30pm; Sat available"
Windsor,Windsor Family Health Team - Team Care Centre,Family Health Team,2475 McDougall Street Suite 150,ON,N8X 3N9,519-250-5524,https://www.windsorfht.ca,Ron Sheppard,Director of Operations,,"After-hours care; team-based primary care"
Windsor,Windsor Family Health Team,Family Health Team,2475 McDougall Street Suite 245,ON,N8X 3N9,519-250-5656,https://www.windsorfht.ca,Linda Fawler,Manager of Human Resources & Finance,,"HR contact for staff recruitment"
Windsor,Windsor-Essex Ontario Health Team,Health Team Coordination,,ON,,519-254-5577,https://www.weoht.ca,Joyce Zuk,Executive Director,,"Seconded from Family Services Windsor-Essex; coordinates regional health services; effective January 2025"
Windsor,Windsor-Essex County Health Unit - Windsor Office,Public Health Unit,1005 Ouellette Avenue,ON,N9A 4J8,519-258-2146,https://www.wechu.org,Dr. Kenneth Blanchette,CEO,,"Public health services; Dr. Mehdi Aloosh is Medical Officer of Health"
Windsor,The Hospice of Windsor and Essex County,Hospice/Palliative Care,6038 Empress Street,ON,N8T 1B5,519-974-7100,https://www.thehospice.ca,Katharen Bortolin,Executive Director,,"End-of-life care; appointed May 2024; previously Director of Community Engagement"
Windsor,CMHA Windsor-Essex County,Mental Health Organization,1400 Windsor Avenue,ON,,519-255-7440,https://windsoressex.cmha.ca,Nicole Sbrocca,Chief Executive Officer,,"Started March 2024; 20 years healthcare experience; formerly Regional Director WRH"
Windsor,Mental Health & Addictions Urgent Crisis Centre (MHAUCC),Urgent Care/Mental Health,1030 Ouellette Avenue,ON,N9A 1E1,519-973-4435,https://windsoressex.cmha.ca/mhaucc,Nicole Sbrocca,CEO of CMHA-WECB,,"24/7 walk-in crisis; adjacent to WRH Ouellette Emergency; operated by CMHA Windsor-Essex"
Windsor,Maryvale Adolescent and Family Services,Mental Health Facility,3640 Wells Street,ON,N9C 1T9,519-258-0484,https://www.maryvale.ca,Jenny Letink,Executive Director,,"Children's mental health treatment centre; ages 6-18; therapy and assistance for serious emotional/psychological distress"
Windsor,Maryvale Adolescent and Family Services,Mental Health Facility,3640 Wells Street,ON,N9C 1T9,519-419-1397,https://www.maryvale.ca,Jenny Letink,Executive Director,,"Youth single sessions call-in line ages 13-18; Parent line: 519-419-1949"
Windsor,UMC Urgent Care - Windsor,Urgent Care Centre,1100 University Avenue West,ON,N9A 5S7,519-997-2404,https://theumc.ca,,,,"Corner of University and Elm; walk-in medical clinic"
Windsor,Windsor Urgent Care West,Urgent Care Centre,2055 Huron Church Road,ON,N9C 2L6,519-966-5932,https://www.getcare.ca,,,,"Walk-in medical clinic; Mon & Wed 8am-5pm; Tue & Thu 8am-6pm; Fri & Sat 9am-2pm"
Windsor,Essex County Nurse Practitioner-Led Clinic - Windsor,Nurse Practitioner Clinic,1078 Drouillard Road,ON,N8Y 2P8,226-783-0002,https://ecnplc.ca,Laura Levesque,Executive Director,,"Primary care for patients without family doctor"
Windsor,LifeLabs - Tecumseh Road East,Diagnostic/Lab,6505 Tecumseh Road East,ON,N8T 1E7,877-849-3637,https://www.lifelabs.com,,,,"Blood work; lab testing; appointments available"
Windsor,LifeLabs - Hawthorne Drive,Diagnostic/Lab,6720 Hawthorne Drive,ON,N8T 1J9,519-945-5433,https://www.lifelabs.com,,,,"Blood work; lab testing"
Windsor,Dynacare - Windsor,Diagnostic/Lab,3176 Dougall Avenue Unit 22,ON,N9E 1S6,,https://www.dynacare.ca,,,,"Blood work; lab testing"
Windsor,Windsor Medical Clinics - East,Walk-In Clinic,6720 Hawthorne Drive,ON,,519-944-2295,https://www.windsormedicalclinics.com,,,,"Mon-Fri 9am-6pm; Sat 9am-1pm; pharmacy; rehab; lab; 50+ years serving Windsor"
Windsor,Windsor Medical Clinics - West,Walk-In Clinic,,,ON,,519-258-4400,https://www.windsormedicalclinics.com,,,,"Mon-Fri 8am-6pm; Sat-Sun 9am-1pm; pharmacy; EKG; lab"
Windsor,Windsor Professional Centre,Clinic,2462-2464 Howard Avenue,ON,,519-969-8115,https://www.windsorprofessionalcentre.ca,,,40000+ patients,"Family Healthcare Windsor; 20+ years; multi-physician practice"
Windsor,Erie St. Clair Clinic,Clinic,5415 Tecumseh Road East 2nd Floor,ON,N8T 1C5,519-258-2661,https://eriestclairclinic.com,,,,"Open 7 days; 8am-8pm; toll free: 1-888-447-4468"
Windsor,Advanced Rehabilitation Centre - Windsor,Rehabilitation,2301 Tecumseh Road East,ON,,,https://www.eriestclairhealthline.ca,,,,"Physiotherapy; occupational therapy"
Windsor,CARE Institute,Rehabilitation,2464 Howard Avenue Suite 108,ON,N8X 3V6,,https://www.careinstitute.ca,,,,"Physiotherapy Windsor Essex"
Windsor,Leap Physiotherapy - Wyandotte,Rehabilitation,4900 Wyandotte Street East Suite 210,ON,N8Y 1H7,,https://leapphysiotherapy.ca,,,,"Physiotherapy clinic"
Leamington,Erie Shores HealthCare,Hospital,194 Talbot Street West,ON,N8H 1N9,519-326-2373,https://www.erieshoreshealthcare.ca,Kristin Kennedy (departing),President & CEO,58 inpatient beds / 500+ staff,"CEO moving to WRH; interim CEO to be named Winter 2025; Dr. Kenneth Ogah new Chief of Staff Jan 2025"
Leamington,Erie Shores HealthCare,Hospital,194 Talbot Street West,ON,N8H 1N9,519-326-2373,https://www.erieshoreshealthcare.ca,Beth Hall,VP Corporate Services Capital and Strategic Planning,58 beds,"Senior leadership team member"
