City,Hotel/Property Name,Brand/Chain,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Number of Rooms,Notes
Windsor,Caesars Windsor Hotel & Casino,Caesars Entertainment,377 Riverside Dr E,ON,N9A 7H7,519-258-7878,https://www.caesars.com/caesars-windsor,Jody Brown,Senior VP & General Manager,758,"Casino resort, 5000+ employees, convention facilities, AAA Four Diamond Award"
Windsor,DoubleTree by Hilton Windsor Hotel & Suites,Hilton,333 Riverside Drive W,ON,N9A 7C5,519-977-9777,https://www.hilton.com/en/hotels/yqgwidt-doubletree-windsor-hotel-and-suites/,,,161,"Downtown waterfront location, meeting facilities"
Windsor,Hampton Inn & Suites by Hilton Windsor,Hilton,1840 Huron Church Rd,ON,N9C 2L5,519-972-0770,https://www.hilton.com/en/hotels/yqgcnhx-hampton-suites-windsor/,,,147,"Indoor pool, free hot breakfast, near Ambassador Bridge"
Windsor,Four Points by Sheraton Windsor Downtown,Marriott,430 Ouellette Ave,ON,N9A 1B2,519-256-4656,https://www.marriott.com/en-us/hotels/yqgfp-four-points-windsor-downtown/overview/,,,,"Downtown location, kitchenettes available"
Windsor,TownePlace Suites by Marriott Windsor,Marriott,250 Dougall Avenue,ON,N9A 7C6,519-977-9707,https://www.marriott.com/en-us/hotels/yqgts-towneplace-suites-windsor/overview/,,,128,"Extended stay, full kitchens, large work areas"
Windsor,Holiday Inn Hotel & Suites Windsor (Ambassador Bridge),IHG,1855 Huron Church Road,ON,N9C 2L6,519-966-1200,https://www.ihg.com/holidayinn/hotels/us/en/windsor/yqgca/hoteldetail,,,214,"Indoor pool, Grill 55 restaurant, near Ambassador Bridge"
Windsor,Holiday Inn Express Windsor Waterfront,IHG,33 Riverside Dr E,ON,N9A 2S4,519-945-2110,https://www.ihg.com/holidayinnexpress/hotels/us/en/windsor/yqgrs/hoteldetail,,,156,"Downtown waterfront, 3 min walk to Caesars Windsor"
Windsor,Best Western Plus Waterfront Hotel,Best Western,277 Riverside Dr W,ON,N9A 5K4,519-973-5555,https://www.bestwestern.com/en_US/book/hotels-in-windsor/best-western-plus-waterfront-hotel/propertyCode.66117.html,,,,"22-floor high-rise, built 1983, renovated 2015, adjacent to Cleary Convention Center"
Windsor,SureStay Plus by Best Western Windsor,Best Western,2530 Ouellette Ave,ON,N8X 1L7,519-966-1860,https://www.bestwestern.com/en_US/book/hotels-in-windsor/surestay-plus-by-best-western-windsor/propertyCode.54254.html,,,67,"Built 1970, budget-friendly option"
Windsor,Comfort Inn Windsor,Choice Hotels,2955 Dougall Ave,ON,N9E 1S1,519-966-7800,https://www.choicehotels.com/en-ca/ontario/windsor/comfort-inn-hotels/cn318,,,93,"Renovated 2013, continental breakfast"
Windsor,Comfort Inn & Suites Ambassador Bridge,Choice Hotels,2330 Huron Church Rd W,ON,N9E 3S6,519-972-1100,https://www.choicehotels.com/en-ca/ontario/windsor/comfort-inn-hotels/cn901,,,124,"100% smoke-free, free hot & cold breakfast, drive-up access"
Windsor,Quality Inn & Suites Downtown Windsor,Choice Hotels,675 Goyeau St,ON,N9A 1H3,519-258-8411,https://www.choicehotels.com/ontario/windsor/quality-inn-hotels/cn665,,,113,"Adjacent to Windsor-Detroit Tunnel, walking distance to casino"
Windsor,Super 8 by Wyndham Ambassador Bridge Windsor,Wyndham,2265 Huron Church Rd,ON,N9C 2L9,519-966-8868,https://www.wyndhamhotels.com/super-8/windsor-ontario/super-8-windsor-ambassador-bridge/overview,,,51,"Near University of Windsor and Ambassador Bridge"
Windsor,Travelodge by Wyndham Windsor,Wyndham,2225 Division Road,ON,N8W 1Z7,519-969-7800,https://www.wyndhamhotels.com/travelodge/windsor-ontario/travelodge-windsor/overview,,,,"Near Windsor Airport and Highway 401, free breakfast"
Windsor,Days Inn Windsor,Wyndham,675 Goyeau Street,ON,N9A 1H3,,https://www.wyndhamhotels.com/en-ca/days-inn/locations,,,104,"Downtown location"
Windsor,Motel 6 Windsor,Motel 6,2000 Huron Church Rd,ON,N9C 2L5,519-966-8811,https://www.motel6.com/en/home/motels.on.windsor.5725.html,,,33,"Budget motel, micro-fridge units, free Wi-Fi"
Windsor,Royal Windsor Motel,Independent,2100 Huron Church Rd,ON,N9C 2L5,519-967-1460,https://www.royalwindsormotel.com/,,,10,"Small motel near Ambassador Bridge"
Windsor,Kenora Master Choice Motel,Independent,2030 Huron Church Road,ON,N9C 2L5,519-969-7500,https://kenoramotel.com/,,,,"Huron Church Road location, renovated rooms"
