City,Company Name,Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,BrokerLink - Tecumseh Road,Insurance Agency,5940 Tecumseh Rd E,ON,N8T 1E3,519-988-0888,https://www.brokerlink.ca,,,RIBO licensed; Personal and business insurance
Windsor,BrokerLink - Dougall Avenue,Insurance Agency,2570 Dougall Avenue Unit 1A,ON,N8X 1T6,519-969-5910,https://www.brokerlink.ca,,,RIBO licensed; Personal and business insurance
Windsor,All-Risks Insurance Brokers (Head Office),Insurance Agency,1255 Ouellette Ave,ON,N8X 1J3,519-253-6376,https://all-risks.com,Beverly Afelskie,Branch Manager,RIBO licensed; Head office location; Est. 1983
Windsor,Tabone Insurance Brokers,Insurance Agency,3012 Tecumseh Rd E Unit B,ON,N8W 1G7,226-216-5777,https://taboneinsurance.com,Jesmond Tabone,President,RIBO licensed; Classic car specialist via Hagerty
Windsor,Hub International - Walker Road,Insurance Agency,3063 Walker Rd,ON,N8W 3R4,519-966-2600,https://www.hubinternational.com,,,Financial insurance and employee benefits
Windsor,Hub International - Rhodes Drive,Insurance Agency,3610 Rhodes Drive,ON,N8W 5A4,519-966-2600,https://www.hubfinancial.com,,,Personal insurance solutions
Windsor,NFP Canada Corp,Insurance Agency,1350 Provincial Road,ON,N8W 5W1,519-254-1633,https://www.nfp.ca,John Thrasher,Account Executive,AON Company; Property casualty and benefits
Windsor,CAA Insurance,Insurance Agency,3155 Howard Avenue,ON,N8X 4Y8,519-971-3228,https://www.caasco.com/insurance,,,Member services; Auto home travel insurance
Windsor,Co-operators Insurance,Insurance Agency,5905 Malden Rd,ON,N9H 1S6,519-250-5152,https://www.cooperators.ca,,,Home auto life group insurance
Windsor,Glenn Bondy - Desjardins Insurance,Insurance Agency,4050 Walker Rd Unit 100,ON,N8W 3T5,519-969-3866,https://gbondy.com,Glenn Bondy,Agent,Serves Windsor and Essex County
Windsor,Mohamad Chami - Desjardins Insurance,Insurance Agency,6124 Tecumseh Rd E Unit 1,ON,N8T 1E6,519-948-8448,https://allmyinsurance.ca,Mohamad Chami,Agent,Corner of Tecumseh and Jefferson
