City,Company Name,Industry,Street Address,Province,Postal Code,Phone Number,Website,HR Contact Name,Title/Role,Number of Employees,Notes
Windsor,Stellantis Windsor Assembly Plant,Automotive Manufacturing,1 Riverside Drive West,ON,N9A 5K3,(519) 973-2000,https://www.stellantis.com,HR Canada Team,Human Resources Department,"4,200+","Largest employer in region. HR email: HRCanada@fcagroup.com, HR direct: (519) 973-2748. Major hiring for EV transition."
Windsor,NextStar Energy,EV Battery Manufacturing,1701 Talbot Road,ON,N9A 6H5,(519) 973-2000,https://nextstar-energy.com,Ed Novacco,Director of Human Resources,"2,500 (projected)","Canada's first large-scale EV battery plant. Major hiring through 2025. Joint venture Stellantis/LG. Relocating workers."
Windsor,Caesars Windsor,Gaming/Entertainment,377 Riverside Dr. E,ON,N9A 7H7,(519) 258-7878,https://www.caesarswindsor.com,Lee Antoniw,Director of Human Resources,"2,100","Casino and hotel. careers.caesarswindsor.com. Major hospitality employer."
Windsor,Windsor Regional Hospital,Healthcare,1995 Lens Avenue,ON,N8W 1L9,(519) 254-5577,https://www.wrh.on.ca,HR Department,Human Resources,730+,Major hospital. joinwrh.ca for recruitment. Multiple campuses.
Windsor,Hotel-Dieu Grace Healthcare,Healthcare,1453 Prince Road,ON,N9C 3Z4,(519) 257-5111,https://www.hdgh.org,Mary Benson-Albers,Chief Human Resources Officer,500+,"Specialty care hospital. 25+ year HR veteran. hdgh.org/hr"
Windsor,Sutherland Global Services,Call Centre/Technology,500 Ouellette Ave.,ON,N9A 1B3,(519) 258-3500,https://www.sutherlandglobal.com,HR Department,Human Resources,"1,350","Large call centre operation. jobs.sutherlandglobal.com"
Windsor,University of Windsor,Education,401 Sunset Avenue,ON,N9B 3P4,(519) 253-3000,https://www.uwindsor.ca,Jody Fraser,Associate Vice President Human Resources,"2,000+","Major university. hr@uwindsor.ca, Ext. 2047. Regular faculty recruitment."
Windsor,St. Clair College,Education,2000 Talbot Road West,ON,N9A 6S4,(519) 966-1656,https://www.stclaircollege.ca,R. Demchuk,Associate Vice President Human Resources,"1,000+","College with multiple campuses. (519) 972-2727 ext. 4686"
Windsor,City of Windsor,Municipal Government,400 City Hall Square East,ON,N9A 7K6,(519) 255-6515,https://www.citywindsor.ca,Vincenza Mihalo,Executive Director of Human Resources,"3,500+","Major municipal employer. hrdiv@citywindsor.ca, TTY: (519) 255-6685"
Windsor,Windsor Police Service,Public Safety,150 Goyeau Street,ON,N9A 6V2,(519) 258-6111,https://windsorpolice.ca,Bryce Chandler,Director of Human Resources and Legal Counsel,700+,"Police service. joinwindsorpolice.ca for recruitment."
Windsor,ENWIN Utilities,Utilities,4545 Rhodes Dr,ON,N9A 5T7,(519) 255-2727,https://enwin.com,HR Department,Human Resources,300+,"Electric and water utility. HR: (519) 251-7300 ext. 750"
Windsor,Enbridge Gas (Union Gas),Utilities,3840 Rhodes Drive,ON,N8W 5C2,(519) 251-6806,https://www.enbridgegas.com,HR Department,Human Resources,200+,Natural gas utility. Regional office.
Windsor,Transit Windsor,Transportation,300 Chatham Street West,ON,N9A 0A8,(519) 944-4111,https://www.citywindsor.ca/residents/transit-windsor,City of Windsor HR,Human Resources,400+,Municipal transit. Part of City of Windsor.
Windsor,Windsor Airport (YQG),Transportation,3200 Cabana Rd E Unit 200,ON,N8V 0A1,(519) 969-2430,https://flyyqg.ca,HR Business Partner,Human Resources,150+,"Airport authority. info@yqg.ca, ext. 437"
Windsor,Greater Essex County District School Board,Education,451 Park Street West,ON,N9A 6K1,(519) 255-3200,https://www.publicboard.ca,Jessica Heron,Manager of Human Resources,"3,000+","Public school board. humanresources@publicboard.ca"
Windsor,Windsor-Essex Catholic District School Board,Education,1325 California Avenue,ON,N9B 3Y6,(519) 253-2481,https://www.wecdsb.on.ca,Colleen Norris,Superintendent of Human Resources,"2,500+","Catholic school board. HR ext. 1121 or 1122"
Windsor,Valiant TMS,Automotive/Automation,6555 Hawthorne Drive,ON,N8T 3G6,(519) 974-5200,https://www.valianttms.com,Danielle Gignac,Executive Director Global Human Resources,900,"Automation equipment. Toll Free: 1-888-VALIANT. Major exporter."
