City,Organization Name,Type/Focus,Street Address,Province,Postal Code,Phone,Website,Decision Maker Name,Title / Role,Notes
Windsor,WindsorEssex Community Foundation,Community Foundation,3200 Deziel Dr #511,ON,N8W 5K8,(519) 259-1951,wecf.ca,Lisa Kolody,Executive Director,"Founded 1983; invested $1.1M in 2025; Lucie Lombardo Board Chair"
Windsor,United Way Centraide Windsor-Essex Chatham-Kent,Social Services/Fundraising,4510 Rhodes Dr #510,ON,N8W 5K5,,weareunited.com,Lorraine Goddard,Chief Executive Officer,"Merged July 2024; Lori Atkinson Board Chair; 24 board members"
Windsor,Downtown Mission of Windsor,Homeless Services/Shelter,875 Ouellette Ave,ON,N9A 4J6,(519) 973-5573,downtownmission.com,Rukshini Ponniah-Goulin,Executive Director,"Christian faith-based; shelter; food programs; Windsor Youth Centre; relocated from 664 Victoria Ave"
Windsor,Salvation Army Windsor Centre of Hope,Homeless Services/Shelter,355 Church St,ON,N9A 4J1,(519) 253-7473,salvationarmywindsor.ca,Jason Linton,Executive Director,"Appointed Aug 2024; succeeds Major Danny Pinksen; Gerry Pocock Board Chair"
Windsor,The Hospice of Windsor and Essex County,Palliative Care,6038 Empress St,ON,N8T 1B5,(519) 974-7100,thehospice.ca,Katharen Bortolin,Executive Director,"Appointed May 2024; Mary Beth Valentine Board Chair; CFRE designation"
Windsor,Windsor/Essex County Humane Society,Animal Welfare,1375 Provincial Rd,ON,N8W 5V8,(519) 966-5751,windsorhumane.org,Lynnette Bain,Executive Director,"Appointed Nov 2024; 100th anniversary 2024"
Windsor,UHC - Hub of Opportunities,Employment/Food Bank,6955 Cantelon Dr,ON,N8T 3J9,(519) 944-4900,uhc.ca,June Muir,Chief Executive Officer,"President Windsor Essex Food Bank Assoc 20 years; 26 programs; $7M revenue"
Windsor,Life After Fifty,Seniors Services,635 McEwan Ave,ON,N9B 2E1,(519) 254-1108,lifeafterfifty.ca,Thomas Wilson,Executive Director,"Appointed Nov 2022; 900+ members; multiple programs for 50+"
Windsor,Family Services Windsor-Essex,Counselling/Support,1770 Langlois Ave,ON,N8X 4M5,(519) 946-3050,fswe.ca,Ciara Holmes,Acting Executive Director,"Lauren Bondy Director of Operations; OTF Seed Grant recipient"
Windsor,Windsor Youth Centre,Homeless Youth Services,875 Ouellette Ave,ON,N9A 4J6,(519) 973-5573,downtownmission.com,Tamara Kowalska,Founder/Former Director,"Program of Downtown Mission; serves 250+ youth monthly; funding crisis 2025"
Windsor,Windsor Regional Hospital Foundation,Healthcare Foundation,1995 Lens Avenue,ON,N8W 1L9,,wrh.on.ca/WRHFoundation,Cristina Naccarato,Executive Director,"Supports Windsor Regional Hospital; philanthropy"
Windsor,Hotel-Dieu Grace Healthcare Foundation,Healthcare Foundation,1453 Prince Rd,ON,N9C 3Z4,(519) 257-5111 x73859,hdgh.org/foundation,Barb Sebben,Executive Director,"Supports HDGH; 313-bed regional provider"
Windsor,Windsor-Essex Children's Aid Society,Child Protection,1671 Riverside Dr E,ON,N8Y 5A4,(519) 252-1171,wecas.on.ca,Derrick Drouillard,Executive Director,"Child welfare; Leonardo Gil Senior Director of Services"
