City,Organization Name,Type/Category,CRA Registration #,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Chatham,Chatham-Kent Health Alliance Foundation,Health/Hospital Foundation,867413460RR0001,9 Ursuline Ave,ON,N7M 5L9,519-436-2538,https://ckhaf.ca/,,,"Amalgamation of Public General Hospital Foundation, Sydenham District Hospital Foundation. Raised $44M+ since 1998"
Chatham,Community Living Chatham-Kent,Disability Services,,650 Riverview Drive Unit 2,ON,N7M 0N2,519-352-1174,https://www.clc-k.ca/,,,"Supports 550+ people with diverse abilities, 270+ employees"
Chatham,Big Brothers Big Sisters of Chatham-Kent,Youth Mentoring,,137 Queen St,ON,N7M 2G7,519-351-1582,https://chathamkent.bigbrothersbigsisters.ca/,Amanda Clark,Executive Director,Youth mentoring organization
Chatham,BGC Chatham-Kent,Youth Services,,137 Queen Street,ON,N7M 2G7,519-351-1582,,,,"Formerly Boys and Girls Club, youth programs"
Chatham,Chatham Outreach for Hunger,Food Bank/Hunger Relief,,10 Wellington Street West,ON,N7M 5L3,519-351-8381,https://outreachforhunger.com/,,,Emergency food distribution Mon/Wed/Fri 11am-3pm
Chatham,Chatham Kent Women's Centre Inc.,Women's Shelter/Crisis Services,,20 Sandys Street,ON,N7M 5K8,519-351-9144,https://ckwc.ca/,,,24-hour crisis hotline: 519-354-6360
Chatham,The Salvation Army Chatham-Kent Ministries,Social Services/Religious,,46 Orangewood Blvd,ON,N7L 5H1,519-354-1430,https://www.cksalvationarmy.org/,,,Multiple locations including thrift store at 456 St Clair St
Chatham,United Way Centraide Windsor-Essex Chatham-Kent,Charitable Foundation,,425 McNaughton Ave West,ON,N7L 4K4,519-354-0430,https://www.weareunited.com/,,,Merged with United Way of Windsor-Essex in 2024
Chatham,YMCA of Chatham-Kent,Recreation/Youth,,101 Courthouse Lane,ON,N7L 0B5,519-360-9622,https://www.ymcachathamkent.ca/,,,Recreation and community programs
Chatham,Chatham-Kent Hospice,Palliative Care,,34 Wellington Street East,ON,N7M 3N7,519-354-3113 ext. 2104,https://www.chathamkenthospice.com/,,,End-of-life care services
Chatham,Rotary Club of Chatham,Service Club,,35 Thames St. P.O.Box 836,ON,N7M 5L1,519-354-8300,https://chathamrotary.com/,,,Meets Wednesdays 12:15 at Links of Kent Golf Club. 100 years old
Chatham,Rotary Club of Chatham Sunrise,Service Club,,307 Grand Avenue West (Smitty's Restaurant),ON,N7L 1C3,519-354-5172,https://www.rotarysunrise.com/,,,Meets Tuesdays 7:30 AM. Email: chathamsunriserotaryclub@gmail.com
Chatham,Kiwanis Club of Chatham-Kent,Service Club,,416 St. Clair St. P.O. Box 20065,ON,N7L 5L6,416-388-4387,https://www.chatham-kentkiwanis.com/,,,Sponsors Kiwanis Theatre and Music Festival
Chatham,Chatham Lions Club,Service Club,,P.O. Box 794,ON,N7M 5L1,,https://e-clubhouse.org/sites/chathamon/,,,Contact: chathamlionssec@gmail.com; info@chathamlionsclub.ca
Chatham,Royal Canadian Legion Branch 642 Chatham,Veterans Organization,,39 William Street North,ON,N7M 4L3,519-351-8733,https://on.legion.ca/branches/chatham-legion/,,,Email: legionbranch642@gmail.com
Chatham,Chatham Granite Club,Curling/Recreation,,41 William Street North,ON,N7M 5K8,519-352-4324,https://chathamgraniteclub.org/,,,5-sheet curling club in downtown Chatham
Chatham,Kent Minor Hockey Association,Youth Sports (Hockey),,Box 485,ON,N7M 5K6,519-359-4328,https://kentminorhockey.com/,Carl Herder,President,Ages 4-21 hockey programs
Chatham,Chatham Youth Soccer Association,Youth Sports (Soccer),,170 McNaughton Ave W,ON,N7L 1R4,519-352-1999,https://chathamyouthsoccer.net/,,,House league and travel programs
Chatham,Chatham Minor Baseball Association,Youth Sports (Baseball),,30 Tweedsmuir Ave W,ON,N7M 2A4,519-354-8021,http://chathamminorbaseball.com/,,,Minor baseball programs
Chatham,Chatham Minor Ball Hockey League,Youth Sports (Ball Hockey),,Memorial Arena,ON,N7M 5K8,,https://www.chathamminorballhockeyleague.com/,,,Ball hockey programs
Chatham,Lambton-Kent Soccer Association,Youth Sports (Soccer),,170 McNaughton Ave W Unit 3,ON,N7L 1R4,519-354-6257,https://lambtonkentsoccer.com/,,,Founded 1985 covering Chatham-Kent and Sarnia-Lambton. Mailing: P.O. Box 2952 Sarnia N7T 7W2
