City,Organization Name,Type/Category,CRA Registration #,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,United Way/Centraide Windsor-Essex Chatham-Kent,Social Services/Umbrella,108160334RR0001,"510-4510 Rhodes Drive",ON,N8W 5K5,519-258-0000,https://www.weareunited.com/,,,"Coordinates 50+ community partners; Cradle to Career strategy"
Windsor,WindsorEssex Community Foundation,Foundation/Grantmaking,,"3200 Deziel Dr, Suite 511",ON,N8W 5K8,519-944-5155,https://wecf.ca/,,,"Invested $1.1 million in local charities in 2025"
Windsor,Downtown Mission of Windsor,Social Services/Shelter,,"664 Victoria Ave",ON,N9A 4N2,519-973-5573,https://downtownmission.com/,,,"Faith-based; serves homeless and those in poverty"
Windsor,Unemployed Help Centre of Windsor Inc,Employment/Social Services,,"500 Giles Blvd E",ON,N9A 4C7,519-944-4900,https://www.uhc.ca/,,,"Founded 1977; employment services, food assistance"
Windsor,House of Sophrosyne,Addiction/Mental Health,,"5305 Adstoll Avenue",ON,N8T 1G9,519-256-3733,https://sophrosyne.ca/,,,"Women's addiction treatment since 1978"
Windsor,Canadian Mental Health Association Windsor-Essex County,Mental Health,,"1400 Windsor Ave",ON,N8X 3L9,519-255-7440,https://windsoressex.cmha.ca/,,,"Part of national network of 135 providers"
Windsor,Big Brothers Big Sisters of Windsor Essex,Youth Mentoring,,"MacKenzie Hall, 3277 Sandwich Street",ON,N9C 1A9,519-945-6232,https://windsor.bigbrothersbigsisters.ca/,,,"Community-based mentoring programs"
Windsor,Windsor-Essex Children's Aid Society,Child Welfare,,"1671 Riverside Dr E",ON,N8Y 5B5,519-252-1171,https://www.wecas.on.ca/,,,"Child protection since 1899"
Windsor,Windsor-Essex Children's Aid Foundation,Child Welfare Foundation,,"1671 Riverside Dr E",ON,N8Y 5B5,519-252-1171,https://www.wecaf.on.ca/,,,"Fundraising for children in care"
Windsor,Family Services Windsor-Essex,Social Services,,"1770 Langlois Ave",ON,N8X 4M5,519-966-5010,https://fswe.ca/,,,"Counseling, mediation, support programs"
Windsor,The Hospice of Windsor and Essex County Inc,Hospice/Palliative Care,,"6038 Empress Street",ON,N8T 1B5,519-974-7100,https://www.thehospice.ca/,,,"Founded 1979; two residential homes"
Windsor,Habitat for Humanity Windsor-Essex,Housing,,"51 Edinborough Street",ON,N8X 3C3,519-254-5755,https://www.habitatwindsor.org/,,,"136 homes built/repaired since 1994"
Windsor,Windsor/Essex County Humane Society,Animal Welfare,,"1375 Provincial Rd",ON,N8W 5V8,519-966-5751,https://windsorhumane.org/,,,"Founded 1926; animal shelter and welfare"
Windsor,Alzheimer Society of Windsor-Essex County,Health/Disease Specific,,"2135 Richmond Street",ON,N8Y 0A1,519-974-2220,https://alzheimer.ca/windsoressex/en,,,"Dementia support and education"
Windsor,Windsor Regional Hospital Foundation,Health Foundation,,"1995 Lens Ave",ON,N8W 1L9,519-254-5577,https://www.wrhf.org/,,,"Supports Windsor Regional Hospital"
Windsor,Art Windsor-Essex,Arts/Culture,,"401 Riverside Dr W",ON,N9A 7J1,519-977-0013,https://artwindsoressex.ca/,,,"Regional art gallery"
Windsor,Arts Council Windsor & Region,Arts/Culture,,"1942 Wyandotte St E",ON,N8Y 1E4,519-252-6855,https://acwr.net/,,,"Non-profit serving artists and arts orgs"
Windsor,Windsor Symphony Orchestra,Arts/Culture,,"121 University Ave W",ON,N9A 5P4,519-973-1238,https://www.windsorsymphony.com/,,,"Classical and popular music performances"
Windsor,Capitol Theatre Windsor,Arts/Culture,,"121 University Ave W",ON,N9A 5P4,519-253-7729,https://www.capitoltheatrewindsor.ca/,,,"Historic 1920 performing arts venue"
Windsor,KordaZone Theatre,Arts/Culture,,"2520 Seminole Street",ON,N8Y 1X4,519-818-8688,https://www.kordazone.com/,,,"115-seat theatre; provocative productions"
Windsor,Artcite Inc,Arts/Culture,,"109 University Ave W",ON,N9A 5P4,519-977-6564,https://artcite.ca/,,,"Artist-run contemporary art centre"
Windsor,Windsor Light Music Theatre,Arts/Culture,,"2491 Jos. St. Louis Ave",ON,N8T 2M4,519-974-6593,https://www.windsorlightmusictheatre.com/,,,"Community musical theatre"
Windsor,ACT Windsor (Arts Collective Theatre),Arts/Culture,,"330 City Hall Square W",ON,N9A 1J3,,https://actwindsor.ca/,,,"Theatre company in All Saints' Anglican Church"
Windsor,Giovanni Caboto Club,Cultural/Ethnic (Italian),,"2175 Parent Ave",ON,N8X 4K2,519-252-8383,https://www.cabotoclub.com/,,,"Founded 1925; largest Italian club in SW Ontario"
Windsor,Fogolar Furlan Club,Cultural/Ethnic (Italian),,"1800 EC Row North Service Rd",ON,N8W 1Y3,519-966-2230,https://www.fogolar.com/,,,"Italian (Friuli) cultural club"
