City,Facility Name,Type,Street Address,Province,Postal Code,Phone,Website,Decision Maker Name,Title / Role,Notes
Windsor,Huron Lodge Long Term Care Home,Long-Term Care,1881 Cabana Rd W,ON,N9G 1C7,(519) 253-6060,citywindsor.ca/residents/huron-lodge,Alina Sirbu,Administrator,Municipal home; 224 beds; City of Windsor operated
Windsor,The Village at St. Clair,Long-Term Care,1800 Talbot Rd,ON,N9H 0E3,(519) 960-1050,schlegelvillages.com/st-clair-windsor,Dana Houle,Administrator,Schlegel Villages; 256 beds; on St. Clair College campus
Windsor,The Village at St. Clair,Long-Term Care,1800 Talbot Rd,ON,N9H 0E3,(519) 960-1050,schlegelvillages.com/st-clair-windsor,Stephanie June,Director of Nursing Care,
Windsor,Chateau Park Long Term Care Home,Long-Term Care,2990 B Riverside Dr W,ON,N9C 1A2,(519) 254-4341,chateauparkltc.ca,Annemarie Meloche,Administrator,59 beds; CARF accredited; Universal Care Inc
Windsor,Chateau Park Long Term Care Home,Long-Term Care,2990 B Riverside Dr W,ON,N9C 1A2,(519) 254-4341,chateauparkltc.ca,Laura LeBlanc,Director of Care,
Windsor,Berkshire Care Centre,Long-Term Care,350 Dougall Ave,ON,N9A 4P4,(519) 256-7868,berkshirecarecentre.ca,Madeline Desilets,Interim Executive Director,Kindera Living; 181 beds
Windsor,Berkshire Care Centre,Long-Term Care,350 Dougall Ave,ON,N9A 4P4,(519) 256-7868,berkshirecarecentre.ca,Chelsea Campbell-Wright,Interim Director of Care,
Windsor,Berkshire Care Centre,Long-Term Care,350 Dougall Ave,ON,N9A 4P4,(519) 256-7868,berkshirecarecentre.ca,Jen Keane,Clinical Director of Care & IPAC Leader,
Windsor,Banwell Gardens Care Centre,Long-Term Care,3000 Banwell Rd,ON,N8N 0B3,(519) 735-3204,banwellgardenscarecentre.ca,Tanya Adams,Executive Director (Interim),Kindera Living; 142 beds; 25+ years at facility
Windsor,Extendicare Southwood Lakes,Long-Term Care,1255 North Talbot Rd,ON,N9G 3A4,(519) 945-7249,extendicaresouthwoodlakes.com,Sue Ethier,Administrator,150 beds
Windsor,Heron Terrace Long Term Care,Long-Term Care,11550 McNorton St,ON,N8P 1T9,(519) 979-6730,ltc.srgroup.ca,Athena Aird,Administrator,S & R Nursing Homes; 140 beds
Windsor,Regency Park Long Term Care Home,Long-Term Care,567 Victoria Ave,ON,N9A 4N1,(519) 254-1141,regencyparkltc.ca,Annemarie Meloche,Administrator,Meritas Care; 72 beds
Windsor,Regency Park Long Term Care Home,Long-Term Care,567 Victoria Ave,ON,N9A 4N1,(519) 254-1141,regencyparkltc.ca,Minelva Brown,Director of Care,
Windsor,Riverside Place Long Term Care,Long-Term Care,3181 Meadowbrook Ln,ON,N8T 0A4,(519) 974-0148,,David Towers,Administrator,Extendicare/Axr Operating; 96 beds
Windsor,Riverside Place Long Term Care,Long-Term Care,3181 Meadowbrook Ln,ON,N8T 0A4,(519) 974-0148,,Alison Spence-Falkingham,Director of Care,
Windsor,The Village of Aspen Lake,Long-Term Care,9855 McHugh St,ON,N8P 0A6,(519) 946-2055,schlegelvillages.com/aspen-lake-windsor,Dana Houle,Administrator,Schlegel Villages; 192 beds (may be Melody Jackson per older records)
Windsor,The Village of Aspen Lake,Long-Term Care,9855 McHugh St,ON,N8P 0A6,(519) 946-2055,schlegelvillages.com/aspen-lake-windsor,Aurelia Pristoleanu,Director of Nursing Care,
Windsor,Devonshire Retirement Residence,Retirement Home,901 Riverside Dr W,ON,N9A 7J6,(519) 252-2273,devonshireretirement.ca,,,"212 residents; 75+ staff; contact residence for GM name"
Windsor,Lifetimes on Riverside Retirement,Retirement Home,3387 Riverside Dr E,ON,N8Y 1A8,(519) 946-1800,lifetimesonriverside.ca,Jaclyn Elford,General Manager,136 residents; formerly Central Park Lodge
Windsor,Amica Riverside (Amica at Windsor),Retirement Home,4909 Riverside Dr E,ON,,,amica.ca,Ahron Goldman,General Manager,Amica Senior Lifestyles; 177 units; 11-storey high-rise
Windsor,Sunrise of Windsor,Retirement Home,5065 Riverside Dr E,ON,,,sunriseseniorliving.ca,Shayla Sharon RPN,Executive Director,Assisted living & memory care
Windsor,Cardinal Place Retirement,Retirement Home,,,,,cardinalplace.ca,Mike Cardinal,Owner,Affordable retirement living
Windsor,Shoreview at Riverside,Retirement Home,245 Drouillard Rd,ON,N8Y 2P4,,,,"Windsor's newest retirement community"
Windsor,Bruce Retirement Villa,Retirement Home,539 Bruce Ave,ON,N9A 4X1,,,Willem Bijl,Owner (Kanata Living),Assisted & independent living
Windsor,Royal Marquis Retirement Residence (now Venvi),Retirement Home,590 Grand Marais Rd E,ON,N8X 3H4,,,Anne Marie Millette,General Manager,Assisted living; now operated by COGIR/Venvi
Windsor,Chateau Masson,Retirement Home,415 University Ave E,ON,N9A 2Z3,,,Kelly O'Toole,Director of Operations (ALSO),Assisted & independent living
Windsor,Victoria Manor Retirement,Retirement Home,759 Victoria Ave,ON,N9A 4N3,,,,"Assisted & independent living"
Windsor,Kensington Court,Retirement Home,1953 Cabana Rd W,ON,N9G 2X6,,,,"Independent living"
Windsor,Marentette Rest Home,Retirement Home,1758 Marentette Ave,ON,N8X 4E6,,,,"Assisted & independent living"
LaSalle,Chartwell Oak Park LaSalle,Retirement Home,3955 Thirteenth St,ON,N9H 2S7,(226) 526-7116,chartwell.com,David Stobbs,Manager (per LinkedIn),Ranch-style; no stairs/elevators; Chartwell
LaSalle,Seasons Royal Oak Village,Retirement Home,2400 Sandwich West Pkwy,ON,N9H 2S8,,seasonsretirement.com,Tammy Roberts,General Manager,Seasons Retirement; independent & memory care; townhomes + main residence
Tecumseh,Chartwell St. Clair Beach,Retirement Home,13500 Riverside Dr E,ON,N8N 0C3,(519) 979-9300,chartwell.com,,,"Lakefront; independent & assisted living; contact for GM"
Tecumseh,Brouillette Manor,Long-Term Care,11900 Brouillette Ct,ON,N8N 4X8,(519) 735-9810,brouillettemanor.ca,Nancy Comiskey,Administrator,96 beds; family-owned; LaPointe Fisher
Tecumseh,Extendicare Tecumseh,Long-Term Care,2475 St Alphonse St,ON,N8N 2X2,(519) 739-2998,extendicaretecumseh.com,Bobbi Robinson,Executive Director,Dr. Ian McLeod Medical Director
Lakeshore / Belle River,Seasons Belle River,Retirement Home,1700 Essex County Rd 22,ON,N8L 1G8,(519) 727-0034,seasonsretirement.com,Tia Chichkan,General Manager,Single-level; private patios; townhomes; Seasons Retirement
Lakeshore / Belle River,La Chaumiere Retirement Home,Retirement Home,1023 Hwy Rd 22,ON,,(519) 727-5506,lachaumiere.net,Harmen Verbrugge,Owner (Treco Development),Independent & assisted living
Lakeshore / Belle River,Lakeshore Residence,Long-Term Care,1628 Essex County Rd 22,ON,,,lakeshoreresidence.ca,,,"NEW — opening 2026; 160 beds; Riverdale Living; Dan Argiros CEO"
Lakeshore / Woodslee,Country Village Homes,Long-Term Care,440 County Rd 8 RR 2,ON,N0R 1V0,(519) 839-4812,country-village.ca,Allison Cormier,Administrator,Southbridge Care Homes; 104 beds
Amherstburg,Richmond Terrace,Long-Term Care,89 Rankin Ave,ON,N9V 1E7,(519) 736-4295,richmondterrace.ca,Lisa Rosati,Executive Director / Administrator,128 beds; Apans Health Services / Omni Quality Living
