City,Club/Association Name,Sport Type,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,Windsor Minor Hockey Association,Hockey,2555 Pullford St (Mailing: P.O. Box 713 Station A),ON,N9A 5N4,519-254-1739,https://wmha.net/,,,Minor hockey for youth; exploring merger with LaSalle Minor Hockey
LaSalle,LaSalle Minor Hockey Association,Hockey,2160 Old Front Rd,ON,N9J 2C9,519-946-3052,https://lasallesabres.com/,,,Youth hockey programs; potential merger with Windsor Minor Hockey
Windsor,Windsor AAA Zone,Hockey,3400 Grand Marais East,ON,N8W 1W7,,https://windsoraaazone.net/,,,AAA competitive hockey
Windsor,Windsor Minor Ball Hockey League,Hockey,75 Carl Hall Road Unit 1 Second Floor (Head Office: North York),ON,M3K 2B9,,https://www.windsorminorballhockeyleague.com/,,,Ball hockey league
Leamington,Southpoint Minor Hockey Association,Hockey,249 Sherk St (Mailing: P.O. Box 256),ON,N8H 3W2,519-326-0739,https://southpointminorhockey.com/,,,Youth hockey; operates at Leamington Kinsmen Recreation Complex
Amherstburg,Amherstburg Minor Hockey Association,Hockey,3295 Meloche Rd (Mailing: PO Box 246),ON,N9V 3Z4,,https://amherstburghockey.com/,Wes Ewer,President,Youth hockey programs; merged with Erie North Shore as Lake Erie North Stars
Tecumseh,Tecumseh Shoreline Minor Hockey Association,Hockey,12021 McNorton St (Arena),ON,N8N 1W9,519-735-4756,https://tsmha.net/,,,House league and travel hockey programs
Belle River,Belle River District Minor Hockey Association,Hockey,435 Renaud Line (Atlas Tube Centre),ON,N0R 1A0,519-968-2990,https://brdmha.com/,,,Youth hockey; Belle River Junior Canadiens
Essex,Essex Minor Hockey Association,Hockey,60 Fairview Ave West (Mailing: P.O. Box 111),ON,N8M 2Y2,,https://essexll.ca/,,,Part of Essex County Minor Hockey Local League
Windsor,Sun Parlour Female Hockey Association,Hockey,3205 Forest Glade Dr,ON,N8R 1W7,519-735-7121,https://spfhahockey.com/,,,Girls hockey ages 5-18
Chatham,Kent Minor Hockey Association,Hockey,Box 485,ON,N7M 5K6,519-360-1998,https://kentminorhockey.com/,Carl Herder,President,Youth hockey for Chatham-Kent area; President phone: 519-359-4328
Chatham,Chatham Kent Girls Hockey Association,Hockey,170 McNaughton Ave W,ON,N7L 1R4,,https://ckgha.com/,,,Girls hockey programs
Chatham,Chatham-Kent Cyclones AAA Hockey,Hockey,170 McNaughton Ave W,ON,N7L 1R4,,https://chathamkentcyclones.ca/,,,AAA competitive hockey
Wallaceburg,Wallaceburg Minor Hockey Association,Hockey,P.O. Box 20081 James St Postal Office,ON,N8A 5G1,,https://wallaceburghockey.com/,,,Youth hockey programs
Kingsville,Kingsville Minor Hockey,Hockey,1741 Jasperson Rd,ON,N9Y 4G4,,https://www.theonedb.com/Associations/100233/Kingsville-Minor-Hockey/,,,Youth hockey; plays at Kingsville Recreation Complex
Tilbury,Tilbury Local League Hockey,Hockey,49 Bond Ave (Arena),ON,N0P 1J0,,https://kentminorhockey.com/Categories/1166/,,,Part of Kent Minor Hockey Association
Windsor,Essex County Youth Soccer Association,Soccer,9655 McHugh St,ON,N8P 0A8,519-979-9254,https://www.ecysa.org/,,,Umbrella organization for youth soccer in Essex County
Windsor,Windsor TFC,Soccer,9655 McHugh St,ON,N8P 0A8,,https://www.windsorlegion.ca/,,,Youth and adult soccer programs
Tecumseh,Tecumseh Recreational Soccer Club,Soccer,The UPS Store Box 178 13300 Tecumseh Rd,ON,N8N 4R8,,https://www.tecumsehsoccerclub.org/,,,Youth and adult recreational soccer
Tecumseh,Tecumseh United FC,Soccer,The UPS Store Box 178 13300 Tecumseh Rd,ON,N8N 4R8,,https://www.tecumsehunitedfc.com/,,,Travel soccer club
Amherstburg,Amherstburg Soccer Club,Soccer,P.O. Box 252,ON,N9V 2Z4,,https://www.socceramsa.com/,,,Youth recreational and competitive soccer
Belle River,Belle River Soccer,Soccer,435 Renaud Line (Atlas Tube Centre) Mailing: P.O. Box 1201,ON,N0R 1A0,519-982-7529,https://www.belleriversoccer.com/,,,Youth soccer for Lakeshore area
Kingsville,Kingsville Soccer Association,Soccer,1741 Jasperson Rd (Recreation Complex),ON,N9Y 2E5,,https://www.kingsvillesoccer.ca/,,,Youth soccer programs
Chatham,Chatham Youth Soccer Association,Soccer,455 Grand Avenue East Unit 5,ON,N7L 1R4,519-352-1999,https://chathamyouthsoccer.net/,John Foster,President,Recreational and competitive youth soccer; President phone: 519-358-5756
Chatham,Chatham United Soccer,Soccer,455 Grand Avenue East,ON,N7L 1R4,,https://chathamunitedsoccer.org/,,,Recreational soccer; TOPSoccer for players with disabilities
Chatham,Lambton-Kent Soccer Association,Soccer,455 Grand Avenue East,ON,N7L 1R4,,https://lambtonkentsoccer.com/,,,District soccer organization since 1985
Windsor,Roseland Golf & Curling Club,Golf/Curling,455 Kennedy Dr W,ON,N9G 1S8,519-969-3810,https://roselandgolfclub.ca/,Gary Kaschak,Chair,Donald Ross designed course (1926); 6943 yards par-72; GM: Dave Deluzio CPGA
Windsor,Ambassador Golf Club,Golf,1025 Sprucewood Ave,ON,N9J 3Z1,519-966-2425,https://ambassadorgolfclub.com/,Adam Wagner,Director of Golf Operations,Public course; 7033 yards par-71; opened 2005
Tecumseh,Beach Grove Golf & Country Club,Golf/Curling/Swimming,14134 Riverside Dr E,ON,N8N 1B6,519-979-8090,https://beachgrove.net/,Karen Hewson,Executive Director,Private club since 1922; Lake St. Clair location; 6714 yards
LaSalle,Essex Golf & Country Club,Golf,7555 Matchette Rd,ON,N9J 2S4,519-734-1251,https://www.essexgolf.com/,Michael Chadsey,General Manager,Private 18-hole championship course; GM ext. 227
Leamington,Erie Shores Golf & Country Club,Golf,304 Robson Rd,ON,N8H 5R4,519-326-4231,https://www.erieshoresgolf.com/,,,Semi-private course near Lake Erie
Chatham,Links of Kent Golf Course,Golf,120 Indian Creek Rd W,ON,N7M 2E2,519-351-3672,https://linksofkent.com/,Caitlin Nead,Golf Operations Manager,27-hole premium course; wedding/events venue
Chatham,Hidden Hills Golf & Country Club,Golf,25393 St Clair Rd,ON,N0P 1L0,519-354-9500,https://hiddenhillsgcc.com/,B. Weaver,General Manager,27-hole course in Dover Centre area; GM ext. 2
Blenheim,Deer Run Golf Course,Golf,19605 Bloomfield Rd,ON,N0P 1A0,519-676-1566,https://www.deerrungolfcourse.com/,,,27-hole championship course near Lake Erie
Ridgetown,Ridgetown Golf & Curling Club,Golf/Curling,12438 Golf Course Line,ON,N0P 2C0,519-674-3171,https://golfnorth.ca/ridgetown/,,,Golf and curling facilities; Curling: 519-437-1409
Windsor,Windsor Yacht Club,Sailing/Boating,9000 Riverside Dr E,ON,N8S 1H1,519-945-1863,https://www.windsoryachtclub.com/,,,Major yacht club on Detroit River; Fax: 519-945-1221
LaSalle,LaSalle Mariners Yacht Club,Sailing/Boating,2640 Front Rd,ON,N9J 2N1,519-734-1363,https://lasallemariners.ca/,Dave Nantais,Commodore,Family-oriented private club; limited to 75 members
Chatham,Chatham Granite Club,Curling,41 William St N,ON,N7M 4L3,519-352-4324,https://chathamgraniteclub.org/,,,Curling club with multiple sheets
Windsor,Parkside Tennis Club,Tennis,6 Memorial Dr,ON,N8X 5C8,519-977-7746,https://www.parksidetennis.ca/,,,10 courts; serving Windsor since 1996; in Jackson Park
Windsor,Zekelman Tennis Centre,Tennis,2000 Talbot Rd (St. Clair College Sports Park),ON,N9G 3C3,226-674-1381,https://saintstennis.ca/,,,Indoor tennis facility
Windsor,Windsor Table Tennis Club,Table Tennis,1520 Chandler Rd,ON,N8Y 4P7,519-995-3209,https://windsortabletennisclub.wordpress.com/,,,12 ITTF-approved tables; meets Tues/Thurs evenings
Windsor,Windsor Aquatic Club,Swimming,401 Pitt St W (WIATC),ON,N9A 0B2,519-818-7883,https://www.gomotionapp.com/team/canwac/page/home,,,Year-round competitive swim team
Windsor,Windsor Essex Swim Team (WEST),Swimming,401 Pitt St W (WIATC),ON,N9A 0B2,519-974-2782,https://www.westswim.ca/,,,Top 10 team in Canada; multiple program levels
Windsor,Skate Windsor,Figure Skating,3205 Forest Glade Dr,ON,N8R 1W7,519-979-1376,https://skatewindsor.ca/,,,Established 1939; serves Windsor-Essex
Windsor,South Windsor Skating Club,Figure Skating,2555 Pulford St (Mailing: P.O. Box 23039 Devonshire Mall),ON,N8X 3Y8,,https://swskatingclub.ca/,,,Programs at Capri Pizzeria Recreation Complex
Ridgetown,Ridgetown Figure Skating Club,Figure Skating,12438 Golf Course Line,ON,N0P 2C0,,https://skateontario.org/clubs/ridgetown-figure-skating-club/,,,60+ years; meets Tuesday evenings
Windsor,Rose City Gymnastics,Gymnastics,4365 County Rd 42,ON,N8V 0A5,519-972-1619,https://rosecitygymnastics.com/,,,Non-profit; 23500 sq ft facility; 1500+ members; Fax: 519-972-5354
Windsor,Windsor Vistas Gymnastics,Gymnastics,4365 County Rd 42,ON,N8V 0A5,,,,,,Gymnastics programs for Windsor area
Windsor,Alpha Gymnastics,Gymnastics,1565 Lauzon Rd,ON,N8S 3N4,519-968-3545,,,,,Gymnastics training
Windsor,Central Combat Sports,Martial Arts - MMA,1565 Lauzon Rd #2,ON,N8S 3N4,519-987-3482,https://centralmma.com/,,,MMA BJJ Muay Thai; Windsor's most established gym
Windsor,Hybrid Training Academy,Martial Arts - MMA,1529 Highland Ave,ON,N8X 3R7,866-262-9886,https://htawindsor.com/,,,Founded 2014; Windsor-Essex's largest MMA facility
Windsor,MTC Windsor (Maximum Training Centre),Martial Arts - MMA,2109 Ottawa St,ON,N8Y 1R8,,https://mtcwindsor.ca/,,,Premier MMA facility; multiple martial arts programs
Windsor,Karate Rocks Family Martial Arts,Martial Arts - Karate,8444 Wyandotte St E Suite B-C,ON,N8S 1T5,519-990-2714,https://www.karaterocks.com/,,,3-time Gold Winner Windsor Votes Best Martial Arts
Essex,1st Defense Martial Arts,Martial Arts - Taekwondo,36 Centre St,ON,N8M 1N9,,https://www.1stdefensemartialarts.com/,,,34+ years teaching Taekwon-Do and Hapkido
Windsor,Kayahara Judo Club,Martial Arts - Judo,1075 Ypres Ave,ON,N8W 4W4,,,,,,Judo training
Windsor,Border City Athletics Club,Track & Field/Running,4200 Malden Rd,ON,N9E 3P2,,https://www.bordercityac.com/,,,Premier track & field club; Dennis Fairall Fieldhouse
Windsor,Windsor Essex Athletics Club,Track & Field/Running,401 Sunset Ave (University of Windsor),ON,N9B 3P4,,https://www.windsoressexac.com/,,,Practices at UWindsor facilities
Windsor,University of Windsor Athletics Club,Track & Field,401 Sunset Ave,ON,N9B 3P4,,https://www.uwindsorac.com/,,,School-age athletes track and field
Tecumseh,WRACE (Walkers & Runners Around County of Essex),Running,12380 Regal Ct,ON,N8N 2C1,519-979-5852,https://www.wrace.org/,,,Walking and running club
Tecumseh,East Side Riders Cycling Club,Cycling,12380 Regal Ct,ON,N8N 2C1,,https://www.eastsideriders.net/,,,Largest cycling club in Essex County
Windsor,Bike Windsor Essex,Cycling Advocacy,333 Riverside Dr W,ON,N9A 5K4,,https://bikewindsoressex.com/,,,Membership organization; cycling advocacy
Windsor,Windsor Essex Mountain Bike Community (WEBC),Cycling - MTB,2025 California Ave,ON,N9B 3Y4,,https://www.webcride.com/,,,Mountain biking community; manages 8km Libro Centre Trails
Kingsville,Banded Goose Cycle Club,Cycling,29 Division St S,ON,N9Y 1P4,,,,,,Brewery-based cycling club; rides from Kingsville
Windsor,Windsor Essex County Canoe Club (WECCC),Paddling/Canoeing,9655 McHugh St,ON,N8P 0A8,,https://weccc.org/,,,ORCKA affiliated; $35/year family membership
Windsor,Windsor Sportsmen's Club,Hunting/Shooting/Archery,2401 Dougall Ave,ON,N8X 1T3,519-966-1600,https://www.windsorsportsmensclub.org/,,,Trap and skeet ranges; OFAH member
Windsor,Riverside Sportsmen Club,Hunting/Fishing,10835 Riverside Dr E,ON,N8P 1A5,519-735-3031,https://rscwindsor.com/,,,Not-for-profit membership club
Amherstburg,AMA Sportsmen's Association,Hunting/Archery,468 Lowes Side Rd,ON,N9V 2Y8,519-736-5706,,,,,Archery and sportsmen activities
Windsor,East Windsor Sportsman's Club,Hunting/Fishing,10835 Riverside Dr E,ON,N8P 1A5,,https://ewsclub.org/,,,Sportsmen club
Windsor,Archery Windsor,Archery,1075 Ypres Ave (Optimist Community Center),ON,N8W 4W4,519-253-5592,https://www.archerywindsor.ca/,,,Indoor/outdoor archery; outdoor at Amherstburg Target Sports
Windsor,Rose City Archers,Archery,1971 Rossini Blvd (Peace Lutheran Church),ON,N8W 4P6,519-948-7521,https://www.rosecityarchers.ca/,,,Archery club at Peace Lutheran Church
Windsor,Windsor Lawn Bowling Club,Lawn Bowling,2 Memorial Dr,ON,N8X 5C8,519-253-7860,https://www.wlbc.ca/,,,Located in Jackson Park; May-October season
Ridgetown,Ridgetown Lawn Bowling Club,Lawn Bowling,12 Main St E,ON,N0P 2C0,,https://www.bowlschat.com/directory/clubs/ridgetown-lawn-bowling-club,,,Ontario Lawn Bowls Association affiliated
Windsor,Giovanni Caboto Club,Bocce/Social,2175 Parent Ave,ON,N8X 4K2,519-252-8383,https://www.cabotoclub.com/,,,Founded 1925; SW Ontario's largest Italian club; bocce courts
Oldcastle,Ciociaro Club,Bocce/Social,3745 N Talbot Rd,ON,N0R 1L0,519-737-6153,https://www.ciociaroclub.com/,,,14 indoor/outdoor bocce courts
