City,Institution Name,Department,Street Address,Province,Postal Code,Phone Number,Website,Decision Maker Name,Title/Role,Notes
Windsor,University of Windsor,Residence Services,"Room 49 Vanier Hall, 401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000 x3279,https://www.uwindsor.ca/residence/,Lynn Charron,Director - Housing and Residence Life,"~17,994 total students; ~1,450+ residence beds (3 halls + new 452-bed building Fall 2025); 30% international students"
Windsor,University of Windsor,International Student Centre,"2nd Floor Joyce Entrepreneurship Centre, 401 Sunset Ave",ON,N9B 3P4,(519) 253-3000 x3938,https://www.uwindsor.ca/international-student-centre/,Mike Houston,Director - International Student Centre,"3,700+ international students from 130+ countries; Soft Landing Program for arrivals"
Windsor,University of Windsor,Human Resources Department,"Room 501A Chrysler Hall Tower, 401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000 x2059,https://www.uwindsor.ca/humanresources/,Jody Fraser,Associate Vice-President Human Resources,Faculty relocation support available; Contact Iva Gentcheva (ext. 2003) for moving allowances
Windsor,University of Windsor,Office of Student Experience / Student Affairs,"401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000,https://www.uwindsor.ca/studentaffairs/,Dr. Shetina Jones,Associate Vice-President Student Experience,Division of Student Affairs; oversees student services and campus engagement
Windsor,University of Windsor,Faculty Relocation Services,"Room 103 Assumption Hall, 401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000 x2003,https://www.uwindsor.ca/faculty/recruitment/409/relocation-resources-new-faculty,Iva Gentcheva,Senior Administrative Officer - Office of the Provost,Handles moving expenses and relocation coordination for new faculty
Windsor,UWSA (University of Windsor Students' Alliance),Off-Campus Housing Services,"CAW Student Centre, 401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000,https://www.uwsa.ca/housing-info,Alan Saji Koshy,President (2025-26),Student union housing resources; partners with UPlace for off-campus listings
Windsor,UWSA (University of Windsor Students' Alliance),General Administration,"CAW Student Centre, 401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000,https://www.uwsa.ca/,Sandra Theileisen,General Manager,Staff management and operations; stheileisen@uwindsor.ca
Windsor,UWindsor Graduate Students Society,Graduate Student Services,"401 Sunset Avenue",ON,N9B 3P4,(519) 253-3000,https://uwindsorgss.ca/,N/A,N/A,Graduate student support; office hours Mon-Thu 8-3 Fri 8-1
Windsor,St. Clair College,Main Campus - Administration,"2000 Talbot Road West",ON,N9A 6S4,(519) 966-1656,https://www.stclaircollege.ca/,Patricia France,President,"9,383 students Fall 2025; 82% domestic 18% international"
Windsor,St. Clair College,International Education Office,"Welcome Centre Room A2405, 2000 Talbot Road West",ON,N9A 6S4,(519) 972-2727 x5899,https://www.stclaircollege.ca/international/,Nathaniel VeltKamp,Director - International Education,"1,732 international students Fall 2025; nveltkamp@stclaircollege.ca"
